| dept_name          | first_name   | last_name   |   salary | from_date   | to_date    |
|--------------------|--------------|-------------|----------|-------------|------------|
| Customer Service   | Vidya        | Hanabata    |   144866 | 2001-08-30  | 9999-01-01 |
| Development        | Khosrow      | Sgarro      |   144434 | 2002-02-19  | 9999-01-01 |
| Finance            | Lunjin       | Swick       |   142395 | 2002-04-30  | 9999-01-01 |
| Human Resources    | Yinlin       | Flowers     |   141953 | 2001-09-01  | 9999-01-01 |
| Marketing          | Akemi        | Warwick     |   145128 | 2002-05-03  | 9999-01-01 |
| Production         | Youjian      | Cronau      |   138273 | 2001-10-25  | 9999-01-01 |
| Quality Management | Shin         | Luck        |   132103 | 2002-06-19  | 9999-01-01 |
| Research           | Ramachenga   | Soicher     |   130211 | 2002-03-08  | 9999-01-01 |
| Sales              | Tokuyasu     | Pesch       |   158220 | 2002-03-22  | 9999-01-01 |
